MeSH,count
Gynecology,28
Coronavirus Infections/epidemiology/*etiology/virology,23
Principal Component Analysis,67
SARS Virus/*immunology/metabolism,2
Respiratory Tract Infections/*pathology/*virology,7
Prostatic Neoplasms/genetics/pathology,1
Severe Acute Respiratory Syndrome/immunology,43
Asthma-Chronic Obstructive Pulmonary Disease Overlap Syndrome/*complications/drug,3
Family Health/statistics & numerical data,7
COVID-19/*complications/diagnosis/*epidemiology,16
Stroke/*complications/*therapy/virology,1
"Coronavirus 229E, Human/genetics/immunology",5
"Pneumonia, Viral/epidemiology/*immunology/*prevention & control",10
Multiple Organ Failure/immunology/virology,2
Mesenchymal Stem Cell Transplantation/*methods/trends,5
"Vaccines, Synthetic/administration & dosage/adverse effects/*immunology",16
*Exanthema/diagnosis/virology,16
Oculomotor Nerve Diseases/diagnosis/etiology,2
*Big Data,73
Sus scrofa/physiology,4
Substance-Related Disorders/*rehabilitation,24
"Recognition, Psychology",3
Medicare/*organization & administration,1
*Preoperative Care,19
"Communicable Diseases, Emerging/*epidemiology/*prevention & control",7
Respiratory Insufficiency/epidemiology/*prevention & control,7
Subarachnoid Hemorrhage/epidemiology,27
"Hospitals, District",33
Transcatheter Aortic Valve Replacement,1
Coronavirus Infections/transmission/*urine/*virology,1
"Pneumonia, Viral/*diagnosis/immunology/physiopathology/transmission",1
Glioma/*diagnostic imaging/*pathology,2
COS Cells,12
Betacoronavirus/*immunology/*isolation & purification,8
"Pregnancy, Unwanted",3
Guillain-Barre Syndrome/diagnosis/*epidemiology/therapy,12
"Anti-Inflammatory Agents, Non-Steroidal/*pharmacology",15
Picornaviridae Infections/*epidemiology/*virology,4
"Hospitals, University",498
Ovalbumin/chemistry/metabolism,7
Myocarditis/*pathology,19
"Radiographic Image Interpretation, Computer-Assisted/instrumentation/standards",1
Palliative Care/*history/organization & administration,2
Orthopedic Surgeons/*organization & administration,4
Hemocytes/*cytology,3
COVID-19 Vaccines/*classification/*economics/*supply & distribution,7
Breast Neoplasms/*complications,5
"RNA, Small Cytoplasmic/chemistry/genetics",1
Telemedicine/instrumentation/*methods,11
*Extracorporeal Circulation,3
Otolaryngology/organization & administration,17
Chromatography,1
Interleukin-6/blood,268
Radiation Oncology/organization & administration/*trends,4
Medical Laboratory Science/*standards/trends,2
Mannose/*chemical synthesis/chemistry,17
Early Detection of Cancer/methods/*statistics & numerical data,9
"RNA, Messenger/adverse effects/*immunology",1
Coronavirus Infections/immunology/*therapy/*virology,5
*Blood Donors/supply & distribution,1
Community-Acquired Infections/epidemiology/*transmission,4
Macrophages/drug effects/immunology,5
Horns/virology,1
COUP Transcription Factor II/genetics/*metabolism,2
Agriculture/*economics,13
Weight Reduction Programs/methods/*statistics & numerical data,5
Patient Admission/standards,25
"Education, Nursing/*methods",22
Battered Women/*psychology,1
Health Care Surveys/methods,2
Telemedicine/instrumentation/*organization & administration,1
Placenta/metabolism,7
Alberta,18
COVID-19/epidemiology/mortality/*prevention & control/transmission,2
*Coronavirus Infections/blood/diagnosis/diagnostic imaging,1
"Pneumonia, Viral/*diagnosis/*immunology/prevention & control/virology",4
Naphthyridines/*pharmacology,2
Neutrophils/pathology/virology,3
Olfactory Perception/drug effects,2
Coronavirus Infections/diagnosis/epidemiology,17
Computer Systems,48
Furin/genetics,21
Adenocarcinoma of Lung/genetics,1
Unfolded Protein Response,6
Depression/diagnosis/epidemiology,16
Aftercare/standards,10
Sunburn/etiology/prevention & control,2
Anti-Bacterial Agents/*therapeutic use,120
Neoplasms/complications/pathology/*therapy,10
ADAMTS13 Protein/blood,7
Waist Circumference,1
"Personnel, Hospital",106
"Animals, Wild/virology",4
*Drug-Related Side Effects and Adverse Reactions/diagnosis/epidemiology/etiology,8
"Chromatography, Thin Layer/*methods",5
*Marsupialia,7
Percutaneous Coronary Intervention/adverse effects/mortality/*trends,1
Hypogonadism/blood/etiology,1
Health Services for the Aged/*organization & administration/standards,2
Coronavirus Infections/epidemiology/*genetics,29
Serum Albumin,11
"Rats, Sprague-Dawley",35
Peptide Fragments/*physiology,25
Pyrazoles/administration & dosage/*adverse effects,2
"Piperacillin, Tazobactam Drug Combination/pharmacology/therapeutic use",16
Protective Clothing/statistics & numerical data,22
Proteinuria/etiology,7
Antiviral Agents/chemistry/metabolism/*pharmacology,59
Long-Term Care/*statistics & numerical data,18
Value-Based Health Insurance,3
"Pneumonia, Viral/*epidemiology/prevention & control/therapy",38
*Chiroptera/virology,22
Disulfides/metabolism,8
Antiviral Agents/administration & dosage/adverse effects/*therapeutic use,18
Fingolimod Hydrochloride/*therapeutic use,36
Vulvar Neoplasms/surgery,1
"Pneumonia, Viral/diagnosis/mortality/*therapy/virology",1
Middle East Respiratory Syndrome Coronavirus/immunology/physiology,26
Interleukin-4/immunology,2
Virus Diseases/complications/*diet therapy/prevention & control/virology,3
Central Nervous System Diseases/diagnostic imaging/*etiology/physiopathology,16
Bundle-Branch Block/complications/diagnostic imaging/physiopathology,2
*Invasive Pulmonary Aspergillosis/complications,4
Self-Compassion,13
"Hospitals, General/*statistics & numerical data",12
"Pneumonia, Viral/epidemiology/*etiology/transmission",2
Epitope Mapping/*methods,1
Coronavirus Infections/blood/*diagnosis/*epidemiology/pathology,4
Autism Spectrum Disorder/*epidemiology,18
Bariatric Surgery,2
Mental Fatigue/etiology/*psychology,1
Pharynx,31
"Diabetes Mellitus, Type 2/physiopathology/*therapy/virology",1
BCG Vaccine/*administration & dosage/metabolism,3
Mesenchymal Stem Cells/pathology,4
Pneumothorax/*diagnosis/etiology,3
Epistaxis/etiology/*therapy,1
COVID-19/complications/*diagnosis/*mortality/therapy,3
"Social Control, Formal",9
Mortality,656
*Inflammation/blood/drug therapy,2
Putaminal Hemorrhage/diagnostic imaging/etiology/physiopathology,23
Home Care Services/*statistics & numerical data/trends,5
Deltacoronavirus/immunology,2
"*Skin Diseases, Vesiculobullous",7
Health Care Rationing/*ethics,198
Lung/*cytology/*physiology,2
"Pneumonia, Viral/*diagnosis/transmission/*veterinary",2
Viral Vaccines/adverse effects/*immunology,43
*Rheumatology/methods/trends,20
"Pneumonia, Viral/economics/*epidemiology/*therapy",2
COVID-19/diagnosis/epidemiology/*psychology/virology,40
Tachycardia/etiology,2
"Pneumonia, Viral/diagnosis/mortality/*pathology",14
*Hematoma/diagnostic imaging/etiology,15
Actinin/metabolism,2
Peptide Fragments/chemistry/genetics/metabolism/pharmacology,2
Nasal Cavity,11
SARS Virus/immunology/metabolism,1
Vision Disorders/diagnosis/*etiology/metabolism,9
COVID-19/*immunology/therapy,43
Ubiquitins/genetics/*metabolism,1
Vitamin D/analogs & derivatives/blood,8
Immunoglobulin G/analysis/blood,1
Cytochrome P-450 CYP3A/chemistry/metabolism,1
*Molecular Diagnostic Techniques/methods,4
Ritonavir/*adverse effects/pharmacokinetics/pharmacology/*therapeutic use,4
Secondary Care,2
Cost of Illness,203
Lung Diseases/*diagnostic imaging/pathology/*virology,19
*Aging/immunology,1
Contact Tracing,883
Gangrene/etiology/surgery,2
Health Services for the Aged/trends,3
Vomiting/complications,16
*Hate,1
Physical Therapists/organization & administration,1
Cough/diagnostic imaging/epidemiology/*pathology,1
Erythropoiesis/drug effects/*physiology,5
Frailty/therapy,2
Smokers/statistics & numerical data,8
Operating Room Technicians,3
*Pulmonary Arterial Hypertension,34
Glycoproteins/*pharmacology,4
"Antibodies, Monoclonal/chemistry/*immunology/pharmacology",3
Environmental Pollution/statistics & numerical data,2
Exonucleases/immunology,2
*COVID-19/diagnostic imaging/epidemiology,9
*Heroin,15
Orthomyxoviridae Infections/therapy,25
Leukapheresis,2
*Coronavirus Infections/blood/diagnosis/drug therapy/epidemiology,1
Endocrinology/*standards,1
Endoribonucleases/*chemistry/genetics/metabolism,2
"Wounds, Nonpenetrating/*complications",9
Acute-Phase Proteins/*analysis/*biosynthesis,3
Volunteers/*statistics & numerical data,3
*Plasma,5
*Sexually Transmitted Diseases/diagnosis/drug therapy/epidemiology,15
"*Colitis, Ulcerative/immunology/pathology/virology",17
*Pulmonary Fibrosis/diagnostic imaging/drug therapy/etiology,2
Coronary Disease/*epidemiology/virology,5
*Psoriasis/diagnosis/drug therapy,17
Public Health Surveillance/*methods,183
*Stevens-Johnson Syndrome/diagnosis/etiology/therapy,9
Cell Aggregation,1
Nucleocapsid/metabolism,9
*Confidentiality,16
Isoantibodies/*immunology,3
"Receptors, Coronavirus/chemistry/genetics/immunology/metabolism",16
Acute Kidney Injury/etiology/*physiopathology,1
*Ischemic Stroke,38
Cytokine Release Syndrome/*drug therapy/epidemiology/metabolism,4
Systemic Inflammatory Response Syndrome/pathology,3
"*Arrhythmias, Cardiac/classification/diagnosis/etiology",9
Emergency Medicine/*education,16
Emotional Adjustment,14
Sphingomyelin Phosphodiesterase,4
"Education, Medical, Graduate/methods/organization & administration/*trends",17
Psychomotor Agitation/etiology,1
Europe/epidemiology/ethnology,1
*Parkinson Disease/complications/drug therapy/epidemiology,1
Cytokines/biosynthesis,15
Cross Infection/complications/psychology/therapy,3
"*Medicine, Ayurvedic",4
*Family Relations,3
Anti-Bacterial Agents/adverse effects/*therapeutic use,3
Dengue Virus/pathogenicity,6
Coronavirus Infections/complications/psychology/*therapy,8
Coronavirus Infections/*drug therapy/metabolism/pathology/virology,17
"Pneumonia, Viral/*diagnosis/drug therapy/epidemiology",9
Nervous System Diseases/*etiology/physiopathology/virology,1
"Pneumonia, Viral/diagnosis/epidemiology/immunology/*therapy",2
*Coronavirus Infections/complications/epidemiology/physiopathology,16
"Pneumonia, Viral/complications/epidemiology/*nursing/prevention & control",2
Primary Health Care/methods,1
Coronavirus Infections/blood/*mortality/therapy,1
"*Hernia, Abdominal",3
"Pneumonia, Viral/*epidemiology/etiology",7
*Multidetector Computed Tomography,6
Energy-Generating Resources/statistics & numerical data,3
Betacoronavirus/drug effects/*physiology,53
Decision Making/ethics,45
*Human Rights/ethics/legislation & jurisprudence,2
Guillain-Barre Syndrome/diagnosis/*etiology/physiopathology/therapy,5
Chiropractic/education/standards,19
Paranasal Sinuses/*diagnostic imaging,20
COVID-19 Nucleic Acid Testing,625
Hepatitis B/drug therapy,1
Thrombosis/blood/drug therapy,6
Ventilator Weaning,26
Genetic Association Studies,7
"Receptor, Interferon alpha-beta/*deficiency",2
Coronavirus Infections/epidemiology/prevention & control/*transmission/virology,7
"Pneumonia, Viral/*epidemiology/transmission/*veterinary",2
Hypertension/*complications/epidemiology,1
Device Approval/legislation & jurisprudence,16
Cross Infection/diagnosis/drug therapy/*etiology,1
Spermidine/pharmacology,4
Th1 Cells/*immunology,33
Diabetes Complications/diagnosis/epidemiology,3
Cities/classification/epidemiology,5
Social Problems/*ethics,9
"Emergency Service, Hospital/*ethics",2
*Digital Divide,22
"*Financing, Government",12
Glycated Hemoglobin A/*metabolism,1
"Pneumonia, Viral/*complications/mortality/physiopathology",16
Adrenal Cortex Hormones/pharmacology,3
Breast Neoplasms/*diagnosis/*therapy,1
Eye Diseases/*diagnosis/etiology,3
"Pneumonia, Viral/*diagnosis/epidemiology/etiology/physiopathology",17
COVID-19/*blood/mortality,3
*Antiviral Agents/administration & dosage/therapeutic use,2
Coronavirus Infections/diagnosis/*drug therapy/mortality,6
Diabetes Complications/*mortality,25
"Stress Disorders, Post-Traumatic/epidemiology/etiology",8
"Pneumonia, Viral/*prevention & control/*transmission/virology",9
Coronavirus Infections/complications/*physiopathology/therapy,4
*Virus Physiological Phenomena,8
"Decision Support Systems, Clinical/*trends",23
*Fetal Therapies,1
*Viral Load,176
Hybridomas/*immunology,1
*Guilt,3
*Propensity Score,20
*Primary Health Care/methods/organization & administration,21
Journal Impact Factor,5
Intracranial Aneurysm/*surgery,15
*Substance-Related Disorders/drug therapy/rehabilitation,21
COVID-19/*immunology/*mortality,8
Immunoglobulin G/analysis/immunology/metabolism,1
Headache/diagnosis/etiology,1
Neurosurgical Procedures/*methods/trends,3
Health Equity/*ethics,2
COVID-19 Vaccines/*immunology/pharmacology,15
Central Nervous System Diseases/*etiology,11
Nitrogen Oxides/chemistry/*pharmacology,9
Hepatitis B/*physiopathology/virology,1
*Viral Tropism,62
*Orbital Myositis/diagnostic imaging/drug therapy,8
Whole Exome Sequencing,24
Adhesives,22
Dermatologists/*psychology,6
Enzyme Inhibitors/metabolism,8
Anxiety/etiology/immunology/psychology,12
Coronavirus/*drug effects/pathogenicity,3
Pregnancy Complications/*prevention & control/psychology,9
COVID-19/blood/mortality/*pathology,6
*Mothers,48
False Positive Reactions,226
"Pneumonia, Viral/*diagnosis/pathology",20
Poisoning/prevention & control/*therapy,12
Histocompatibility Antigens Class II,1
Coronavirus Infections/*immunology/mortality/therapy/virology,19
"Pneumonia, Viral/diagnosis/prevention & control/*therapy",1
"Immunization, Passive/standards",10
*Liver Cirrhosis/diagnosis/epidemiology,1
"Pneumonia, Viral/*complications/immunology/*mortality",3
Occupational Health/*trends,1
*Pandemics/ethics,66
"Influenza A Virus, H7N9 Subtype/pathogenicity",6
"Heart Rate, Fetal",20
*Logistic Models,6
"Adjuvants, Immunologic/pharmacology/therapeutic use",1
COVID-19/*blood/immunology,19
Myocarditis/blood/*diagnosis/etiology,2
Person-Centered Psychotherapy,2
COVID-19/blood/diagnostic imaging/immunology/*physiopathology,1
Computational Biology/*methods,69
Coronavirus Infections/diagnosis/*epidemiology/*mortality/transmission,3
Nivolumab/administration & dosage,3
"Antibodies, Neutralizing/analysis/*blood/immunology",13
Microbiological Techniques,4
Poland,217
*Pharyngeal Diseases,1
Health Personnel/*statistics & numerical data,379
Coronavirus Infections/complications/diagnosis/*mortality,21
Myelodysplastic Syndromes/diagnosis/*surgery,15
"Pulmonary Disease, Chronic Obstructive/*complications",43
Lipids/chemistry,17
Anesthetics/*therapeutic use,4
Ivermectin/administration & dosage/*pharmacology,2
Plasmodium falciparum/*drug effects/genetics/growth & development,2
Fasting/*adverse effects/physiology,2
"Fractures, Bone/*epidemiology/therapy",2
Foot Diseases/diagnosis,1
"Communicable Diseases, Emerging/virology",1
"*Leukemia, Myeloid, Acute/diagnostic imaging/drug therapy/virology",2
"Pneumonia, Viral/*epidemiology/immunology/therapy/transmission",2
Complement C5b/immunology/metabolism,15
Clinical Laboratory Techniques/*economics/statistics & numerical data,22
COVID-19/diagnosis/economics/*epidemiology/virology,9
Recombinant Fusion Proteins/administration & dosage/immunology,27
Coronavirus Infections/complications/diagnosis/*epidemiology/prevention &,2
Coronavirus M Proteins/immunology,15
"Physicians, Primary Care/*supply & distribution",4
*Venous Thrombosis/diagnosis/etiology/physiopathology,9
Pneumonia/etiology/prevention & control,1
Mental Disorders/*complications,8
Sodium Selenite/*therapeutic use,1
COVID-19/*drug therapy/pathology/virology,42
Inflammation/diagnosis/epidemiology/therapy,13
Mucocutaneous Lymph Node Syndrome/diagnosis/*etiology/*virology,1
Cerebral Palsy,9
Betacoronavirus/*drug effects,525
Infertility/*psychology/therapy,1
*Respiratory Care Units,8
COVID-19/diagnostic imaging/*mortality/*pathology,7
"Pneumonia, Viral/blood/diagnosis/*epidemiology/virology",4
*Lung Neoplasms/diagnosis/therapy,5
Obesity/*complications/immunology/physiopathology,1
Physicians/ethics/*standards/supply & distribution,13
Retinal Degeneration/*drug therapy,2
Betacoronavirus/classification/*pathogenicity,6
"Receptors, Purinergic P2X7/*drug effects/metabolism",2
"Coronavirus, Bovine/*genetics/isolation & purification",2
Jamaica/epidemiology,3
*Coronavirus Infections/diagnosis/virology,18
Occupational Exposure/adverse effects/*prevention & control,61
"Labor, Induced/statistics & numerical data",18
SARS-CoV-2/*metabolism,344
Filtration/*standards,3
Toll-Like Receptor 4/*genetics,1
Pets/*psychology,16
Proteolysis/drug effects,4
Allied Health Personnel/standards,15
"Parainfluenza Virus 2, Human/isolation & purification",1
"Fracture Fixation, Internal/*adverse effects/*instrumentation/methods",3
Motion Perception/*physiology,2
Public Health/methods/*trends,14
*Pulmonologists,15
Public Health/methods/standards,11
Research/*statistics & numerical data,15
Tracheostomy/*adverse effects/*methods,2
Emergency Medical Services/organization & administration,11
Headache/*etiology,3
Formaldehyde/*adverse effects,1
Fatigue/*physiopathology,4
Helminthiasis/*complications/epidemiology/immunology,10
Hyperglycemia/*complications,22
Coinfection/complications/*epidemiology/virology,16
Coronavirus Infections/*diagnosis/drug therapy/therapy/virology,2
Family/psychology,58
Transportation of Patients/*organization & administration,4
"*Fractures, Compression/epidemiology/etiology/physiopathology/surgery",16
Iron/*administration & dosage,16
"*Dermatitis, Exfoliative/drug therapy/etiology",1
*Critical Care/ethics/legislation & jurisprudence,2
Coronavirus Infections/blood/*epidemiology/*immunology,4
Somalia/epidemiology,5
"Antibodies, Monoclonal/metabolism",13
Virion/chemistry/pathogenicity/physiology,18
SARS-CoV-2/*immunology/*pathogenicity,2
Hypokinesia/diagnostic imaging,1
Coronavirus Infections/*diagnosis/*epidemiology/physiopathology,2
Esters/chemistry/metabolism,10
"Influenza, Human/*drug therapy",24
*Adolescent Health,31
"Laboratories, Hospital/legislation & jurisprudence",4
COVID-19/*prevention & control,2404
COVID-19/epidemiology/*mortality/*virology,3
Dementia/etiology,1
*Ecology/ethics,1
Nipah Virus/*drug effects/isolation & purification,11
Circulating MicroRNA/*blood,2
Epithelial Cells/metabolism,4
*Omentum/blood supply/pathology,1
Coronavirus Infections/complications/*drug therapy/epidemiology,40
"*Environment, Controlled",12
Life Cycle Stages,14
Cattle Diseases/pathology/*virology,3
Coronavirus,514
Coronavirus Infections/complications/*prevention & control/transmission/virology,8
Coronavirus Infections/*immunology/*pathology,6
Blood Vessels/immunology/pathology/virology,2
Internship and Residency/*organization & administration/standards/statistics &,3
Attention Deficit Disorder with Hyperactivity/*psychology,20
*Coronavirus Infections/diagnostic imaging/epidemiology/prevention & control,9
Inflammation/*etiology/*therapy,1
*Funeral Rites,28
Pulmonary Embolism/diagnostic imaging/drug therapy/*etiology/mortality,13
Atherosclerosis/complications,6
Substance-Related Disorders/epidemiology/*therapy,11
*Government Programs,2
Coronavirus Infections/diagnosis/*epidemiology/mortality,20
Military Facilities,1
"Epitopes, B-Lymphocyte/*chemistry/genetics/immunology",3
Interferon Regulatory Factor-3,1
*Biological Warfare,1
Coronavirus Infections/*diagnosis/*physiopathology,42
Coronavirus Infections/complications/*epidemiology/psychology/therapy,2
Glucose/*metabolism,2
Postoperative Complications/*diagnosis/*pathology,1
"Practice Management, Medical/*organization & administration",9
Coronavirus Infections/complications/*prevention &,1
Vaping/*adverse effects,25
COVID-19 Vaccines/*immunology/standards,10
Operating Rooms/methods/*standards,18
"Pregnancy Complications, Infectious/diagnosis/therapy/*virology",1
"DNA Barcoding, Taxonomic",1
Coordination Complexes/chemistry/*pharmacology,4
Conservation of Natural Resources/*economics,2
Bacterial Infections/*drug therapy/virology,3
Colorectal Neoplasms/complications/*therapy,2
Eye/metabolism/virology,9
COVID-19 Testing/*instrumentation,29
Personal Protective Equipment/classification/standards,2
COVID-19/epidemiology/*ethnology,22
Immunization/adverse effects/methods,1
Venous Thrombosis/complications/*diagnostic imaging/*drug therapy,16
*Infectious bronchitis virus/genetics/pathogenicity,1
Plasmodium falciparum/*isolation & purification,15
"Tuberculosis, Pulmonary/*microbiology",1
"Chromosomes, Artificial, Bacterial/*genetics",24
*Ships,200
Aortic Aneurysm/*surgery/virology,1
*Ambulatory Care/organization & administration/trends,15
Communicable Disease Control/*organization & administration/statistics &,16
COVID-19/epidemiology/prevention & control/*transmission/virology,15
*Pain/drug therapy,4
Liver Failure/therapy,2
Pulmonary Artery/diagnostic imaging/*pathology,7
Heart Failure/rehabilitation,2
*Noncommunicable Diseases/classification/epidemiology/therapy,7
Asthma/*epidemiology,77
*Community Networks,21
*Infection Control Practitioners/psychology/statistics & numerical data,15
Gene Expression,312
Malaria/*epidemiology/*prevention & control,1
*Mass Media,117
Advance Care Planning/ethics,26
Cough/metabolism/pathology/virology,3
Program Development/*methods,1
Thorax/diagnostic imaging/pathology,1
Hydroxychloroquine/*adverse effects/*therapeutic use,30
Postoperative Complications/*mortality/physiopathology,4
"Radiology Department, Hospital/statistics & numerical data",15
Genetic Counseling/statistics & numerical data,5
Health Resources/statistics & numerical data/supply & distribution,2
"*Pharmacology, Clinical/methods/trends",3
Thrombolytic Therapy/*trends,22
COVID-19/diagnosis/*drug therapy,35
*Hemorrhage/etiology,14
"*Purpura, Thrombocytopenic, Idiopathic/complications/drug therapy/epidemiology",11
Diabetic Ketoacidosis/etiology/prevention & control,1
"Health Knowledge, Attitudes, Practice",554
Bronchiolitis Obliterans,16
Blood Coagulation Disorders/*diagnosis/drug therapy/virology,6
Data Mining/methods/statistics & numerical data,18
Steroids/*adverse effects,5
"Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization",34
National Health Programs/organization & administration/standards/*statistics &,14
Quarantine/*ethics/legislation & jurisprudence,15
"Carcinoma, Non-Small-Cell Lung/diagnosis/*therapy",12
Asia/ethnology,4
Neoplasms/therapy,10
Head Protective Devices,33
Mouth/microbiology,1
COVID-19/diagnosis/physiopathology/therapy,16
Imidazoles/pharmacology,14
"Arrhythmias, Cardiac/chemically induced/epidemiology",1
Sri Lanka,11
Thrombotic Microangiopathies/*blood/drug therapy/metabolism,1
Terminal Care/ethics,6
"Dermatitis, Atopic/enzymology",4
COVID-19 Nucleic Acid Testing/statistics & numerical data,89
Nanoparticles/chemistry/virology,21
Continuous Positive Airway Pressure/instrumentation/*methods,3
*Symptom Assessment,93
Paralysis,9
Immunization,131
Cough/physiopathology,88
"Pneumonia, Viral/*complications/immunology/metabolism/virology",1
"Antibodies, Viral/*biosynthesis/immunology/isolation & purification",1
Research Personnel/*organization & administration/psychology,5
Placebos,19
Central Nervous System Diseases/diagnostic imaging/*etiology,23
Chloroquine/administration & dosage,13
Pruritus/diagnosis/*epidemiology,23
Ribavirin/*pharmacology,1
*Bioengineering,2
"Intubation, Intratracheal/adverse effects/*instrumentation",5
*Health Facilities,50
*DNA Primers,3
Tolnaftate,3
Fracture Fixation/*rehabilitation,11
